,Year,Statistic,Name,Team,Value
693,1955,Total Bases,Al Kaline,Detroit,321
694,1955,Triples,Mickey Mantle,New York,11
695,1956,Base on Balls,Eddie Yost,Washington,151
696,1956,Batting Average,Mickey Mantle,New York,.353
697,1956,Doubles,Jim Piersall,Boston,40
698,1956,Hits,Harvey Kuenn,Detroit,196
699,1956,Home Runs,Mickey Mantle,New York,52
700,1956,On Base Percentage,Ted Williams,Boston,.479
701,1956,RBI,Mickey Mantle,New York,130
702,1956,Runs,Mickey Mantle,New York,132
703,1956,Slugging Average,Mickey Mantle,New York,.705
704,1956,Stolen Bases,Luis Aparacio,Chicago,21
705,1956,Total Bases,Mickey Mantle,New York,376
706,1956,Triples,Jackie Jensen,Boston,11
707,1956,Triples,Jim Lemon,Washington,11
708,1956,Triples,Minnie Minoso,Chicago,11
709,1956,Triples,Harry Simpson,Kansas City,11
710,1957,Base on Balls,Mickey Mantle,New York,146
711,1957,Batting Average,Ted Williams,Boston,.388
712,1957,Doubles,Billy Gardner,Baltimore,36
713,1957,Doubles,Minnie Minoso,Chicago,36
714,1957,Hits,Nellie Fox,Chicago,196
715,1957,Home Runs,Roy Sievers,Washington,42
716,1957,On Base Percentage,Ted Williams,Boston,.528
717,1957,RBI,Roy Sievers,Washington,114
718,1957,Runs,Mickey Mantle,New York,121
719,1957,Slugging Average,Ted Williams,Boston,.731
720,1957,Stolen Bases,Luis Aparicio,Chicago,28
721,1957,Total Bases,Roy Sievers,Washington,331
722,1957,Triples,Hank Bauer,New York,9
723,1957,Triples,Gil McDougald,New York,9
724,1957,Triples,Harry Simpson,Kansas City,9
725,1957,Triples,Harry Simpson,New York,9
726,1958,Base on Balls,Mickey Mantle,New York,129
727,1958,Batting Average,Ted Williams,Boston,.328
728,1958,Doubles,Harvey Kuenn,Detroit,39
729,1958,Hits,Nellie Fox,Chicago,187
730,1958,Home Runs,Mickey Mantle,New York,42
731,1958,On Base Percentage,Ted Williams,Boston,.462
732,1958,RBI,Jackie Jensen,Boston,122
733,1958,Runs,Mickey Mantle,New York,127
734,1958,Slugging Average,Rocky Colavito,Cleveland,.620
735,1958,Stolen Bases,Luis Aparacio,Chicago,29
736,1958,Total Bases,Mickey Mantle,New York,307
737,1958,Triples,Vic Power,Kansas City,10
738,1958,Triples,Vic Power,Cleveland,10
739,1959,Base on Balls,Eddie Yost,Detroit,135
740,1959,Batting Average,Harvey Kuenn,Detroit,.353
741,1959,Doubles,Harvey Kuenn,Detroit,42
742,1959,Hits,Harvey Kuenn,Detroit,198
743,1959,Home Runs,Rocky Colavito,Cleveland,42
744,1959,Home Runs,Harmon Killebrew,Washington,42
745,1959,On Base Percentage,Eddie Yost,Detroit,.437
746,1959,RBI,Jackie Jensen,Boston,112
747,1959,Runs,Eddie Yost,Detroit,115
748,1959,Slugging Average,Al Kaline,Detroit,.530
749,1959,Stolen Bases,Luis Aparacio,Chicago,56
750,1959,Total Bases,Rocky Colavito,Cleveland,301
751,1959,Triples,Bob Allison,Washington,9
752,1960,Base on Balls,Eddie Yost,Detroit,125
753,1960,Batting Average,Pete Runnels,Boston,.320
754,1960,Doubles,Tito Francona,Cleveland,36
755,1960,Hits,Minnie Minoso,Chicago,184
756,1960,Home Runs,Mickey Mantle,New York,40
757,1960,On Base Percentage,Eddie Yost,Detroit,.416
