,Year,Statistic,Name,Team,Value
346,1939,Games,Clint Brown,Chicago,61
347,1939,Saves,Johnny Murphy,New York,19
348,1939,Shutouts,Red Ruffing,New York,5
349,1939,Strikeouts,Bob Feller,Cleveland,246
350,1939,Winning Percentage,Lefty Grove,Boston,.789
351,1940,Complete Games,Bob Feller,Cleveland,31
352,1940,ERA,Bob Feller,Cleveland,2.61
353,1940,Games,Bob Feller,Cleveland,43
354,1940,Saves,Al Benton,Detroit,17
355,1940,Shutouts,Bob Feller,Cleveland,4
356,1940,Shutouts,Ted Lyons,Chicago,4
357,1940,Shutouts,Al Milnar,Cleveland,4
358,1940,Strikeouts,Bob Feller,Cleveland,261
359,1940,Winning Percentage,Schoolboy Rowe,Detroit,.842
360,1941,Complete Games,Thornton Lee,Chicago,30
361,1941,ERA,Thornton Lee,Chicago,2.37
362,1941,Games,Bob Feller,Cleveland,44
363,1941,Saves,Johnny Murphy,New York,15
364,1941,Shutouts,Bob Feller,Cleveland,6
365,1941,Strikeouts,Bob Feller,Cleveland,260
366,1941,Winning Percentage,Lefty Gomez,New York,.750
367,1941,Wins,Bob Feller,Cleveland,25
368,1942,Complete Games,Tiny Bonham,New York,22
369,1942,Complete Games,Tex Hughson,Boston,22
370,1942,ERA,Ted Lyons,Chicago,2.10
371,1942,Games,Joe Haynes,Chicago,40
372,1942,Saves,Johnny Murphy,New York,11
373,1942,Shutouts,Tiny Bonham,New York,6
374,1942,Strikeouts,Tex Hughson,Boston,113
375,1942,Strikeouts,Bobo Newsom,Washington,113
376,1942,Winning Percentage,Tiny Bonham,New York,.808
377,1942,Wins,Tex Hughson,Boston,22
378,1943,Complete Games,Spud Chandler,New York,20
379,1943,Complete Games,Tex Hughson,Boston,20
380,1943,ERA,Spud Chandler,New York,1.64
381,1943,Games,Mace Brown,Boston,49
382,1943,Saves,Gordon Maltzberger,Chicago,14
383,1943,Shutouts,Spud Chandler,New York,5
384,1943,Shutouts,Dizzy Trout,Detroit,5
385,1943,Strikeouts,Allie Reynolds,Cleveland,151
386,1943,Winning Percentage,Spud Chandler,New York,.833
387,1943,Wins,Spud Chandler,New York,20
388,1944,Complete Games,Dizzy Trout,Detroit,33
389,1944,ERA,Dizzy Trout,Detroit,2.12
390,1944,Games,Joe Heving,Cleveland,63
391,1944,Saves,Joe Berry,Philadelphia,12
392,1944,Saves,George Caster,St. Louis,12
393,1944,Saves,Gordon Maltzberger,Chicago,12
394,1944,Shutouts,Dizzy Trout,Detroit,7
395,1944,Strikeouts,Hal Newhouser,Detroit,187
396,1944,Winning Percentage,Tex Hughson,Boston,.783
397,1944,Wins,Hal Newhouser,Detroit,29
398,1945,Complete Games,Hal Newhouser,Detroit,29
399,1945,ERA,Hal Newhouser,Detroit,1.81
400,1945,Games,Joe Berry,Philadelphia,52
401,1945,Saves,Jim Turner,New York,10
402,1945,Shutouts,Hal Newhouser,Detroit,8
403,1945,Strikeouts,Hal Newhouser,Detroit,212
404,1945,Winning Percentage,Hal Newhouser,Detroit,.735
405,1945,Wins,Hal Newhouser,Detroit,25
406,1946,Complete Games,Bob Feller,Cleveland,36
407,1946,ERA,Hal Newhouser,Detroit,1.94
408,1946,Games,Bob Feller,Cleveland,48
409,1946,Saves,Bob Klinger,Boston,9
410,1946,Shutouts,Bob Feller,Cleveland,10
411,1946,Strikeouts,Bob Feller,Cleveland,348
412,1946,Winning Percentage,Dave Ferriss,Boston,.806
413,1946,Wins,Bob Feller,Cleveland,26
414,1947,Complete Games,Hal Newhouser,Detroit,24
415,1947,ERA,Joe Haynes,Chicago,2.42
416,1947,Games,Ed Klieman,Cleveland,58
417,1947,Saves,Ed Klieman,Cleveland,17
418,1947,Saves,Joe Page,New York,17
419,1947,Shutouts,Bob Feller,Cleveland,5
420,1947,Strikeouts,Bob Feller,Cleveland,196
421,1947,Winning Percentage,Allie Reynolds,New York,.704
422,1948,Complete Games,Bob Lemon,Cleveland,20
423,1948,ERA,Gene Bearden,Cleveland,2.43
424,1948,Games,Joe Page,New York,55
